Code,Section,Variable,Definition,Options
E3,OS2,IAP2 level (depth of participation),Highest rung of the IAP2 Spectrum substantively reached by the process. (IAP2 'inform' level excluded per inclusion criteria),1-Consult | 2-Involve | 3-Collaborate | 4-Empower
E5,OS2,Type and profile of participants,"Composition of the participating group: n, demographic characteristics, sampling approach. See TAXONOMIES for the 6 participant categories.",citizens ; stakeholders ; experts ; policy-makers ; students ; supporting-figures (multiple allowed) + free-text profile detail
E_rec,OS2,Recruitment modalities,How participants were recruited and mobilised. See TAXONOMIES for the 4 selection modality categories.,self-selection ; random-sampling ; targeted-selection ; no-selection (multiple allowed) + free-text detail
E_gov,OS2,Governance of participation,Who led the participatory process.,researcher-led | government-led | community-led | co-governance | unclear
E_eng,OS2,Temporal engagement (duration + frequency),Total duration of participation AND frequency/intensity of engagements (merged variables V20+V21).,Free text (e.g. 3 workshops over 6 months)
E_rate,OS2,Participation rate and/or count,"Proportion of participants relative to the targeted or invited population. If no rate/proportion is explicitly stated but the NUMBER of participants is reported anywhere in the article, report that number instead of ""not reported"" (format: ""n=<number> (rate not reported)""). Only use ""not reported"" if neither a rate nor a participant count is given.",Free text | n=<number> (rate not reported) | not reported
,OS3,Impact of participation,Est-ce qu'il y a un impact de la particpiation qui est rapporté (dans la discussion),Free text
H1,OS3,Impact de l'intervention,impacts observés (évaluation),[multi-select] physical-health ; mental-health ; social-cohesion ; biodiversity ; climate-adaptation ; stormwater ; air-quality ; heat ; economic ; education ; governance ; participation-quality ; equity ; cultural ; safety ; other
H_succ,OS3,Success factors identified,Enabling factors and favourable conditions for participation identified by the authors.,Free text
H_barr,OS3,Barriers identified,Obstacles and challenges encountered in implementing participation.,Free text
,OS3,Types of justice,"DISTRIBUTIVE JUSTICE Who gets the benefits? Who bears the burdens? Focuses on the distribution of green space, clean air and shade (goods) vs noise, flooding and displacement (burdens) across social groups. Classic inequity: wealthier, whiter neighbourhoods have more and better-quality green space. Source: Schlosberg (2007) Ch.2; Rigolon (2016); Wolch et al. (2014) — PROCEDURAL JUSTICE Was the decision-making process fair and inclusive? Concerns the fairness of the process — not just the outcomes. A process can produce good outcomes yet still be procedurally unjust if certain groups were excluded or had no real influence. NOTE: high IAP2 level ≠ procedural justice if participants were unrepresentative. Source: Schlosberg (2007) Ch.3; Fung (2006); IAP2 (2018) — RECOGNITIONAL JUSTICE Whose knowledge, identities and cultures are acknowledged? Asks whether the intervention respects the identities, knowledge systems, cultures and histories of all groups — especially historically marginalised ones. Example of misrecognition: a park that erases an informal gathering space used by an immigrant community. Source: Schlosberg (2007) Ch.4; Fraser (2000); Fricker (2007)","Procedural, Distributive, Recognitional or not evoked"
F1d,OS3,Beneficiary groups de l'intervention,Population groups identified as primary beneficiaries (intersectional descriptors).,Free text
F2a,OS3,Representativeness and diversity of process,Was the participating group representative of the affected population?,representative | partially-representative | unrepresentative | not-assessed
F2d,OS3,Conflict and contestation,"Does the study report conflict or contestation around the intervention? If yes, do NOT answer with a bare ""yes"" or a short label — write 1-2 full sentences explaining: (1) WHO was in conflict (e.g. which residents, institutions, or groups), (2) WHAT the conflict was about (the specific object of disagreement), and (3) WHY it arose or how it manifested, based on what the article reports. Enough detail that a reader who has not read the article understands the nature of the conflict, not just that one existed.",yes: <1-2 sentence explanation covering who/what/why> | no | not reported
F3c,OS3,Identity and representation,Marginalised identities named and represented in the participatory process,"Free text (e.g. low-income residents, women, elderly, Indigenous peoples)"
F_adv,OS3,Reported unintended adverse effects,Unintended adverse effects on incumbent residents or other groups.,Free text
